_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
341.662561200	+44.569279800	673-118268	341.6625612	+44.5692798	57	15.739	0	0	0.8	-4.6	13.525	12.840	16.869	15.858	15.380	14.951	0	0	0	0	0	0	0	1	0
341.675702400	+44.531584800	673-118276	341.6757024	+44.5315848	110	16.188	0	0	-3.3	11.6	14.543	14.115	17.332	16.400	16.166		0	0	0	0	0	0	0	1	0
341.676526200	+44.496474500	673-118277	341.6765262	+44.4964745	37	13.906	0	34	-6.9	-2.1	12.473	12.082	14.803	13.999	13.879	13.549	0	0	0	0	2	0	0	2	0
341.688403600	+44.474675600	673-118282	341.6884036	+44.4746756	76	16.030	0	0	-10.9	15.0	14.184	13.642	16.685	15.782	15.467	15.087	0	0	0	0	0	0	0	1	0
341.692618000	+44.484042800	673-118283	341.6926180	+44.4840428	47	14.922	0	0	4.1	0.8	13.321	12.805	16.003	15.031	14.700	14.417	0	0	0	0	0	0	0	1	0
341.693142400	+44.565218400	673-118285	341.6931424	+44.5652184	18	11.208	0	0	9.2	-16.9	9.967	9.587	12.009	11.339	11.154	10.896	3	1	0	1	1	0	0	1	0
341.699085300	+44.528215000	673-118291	341.6990853	+44.5282150	26	13.445	0	0	-4.0	-12.1	11.403	10.639	15.007	13.762	13.325	12.844	0	0	0	0	1	0	0	1	0
341.703522700	+44.402622300	673-118295	341.7035227	+44.4026223	44	14.944	0	0	15.9	-19.6	13.348	12.820	16.171	15.139	14.816	14.360	0	0	0	0	0	0	0	1	0
341.704102100	+44.495235900	673-118296	341.7041021	+44.4952359	78	15.827	0	0	8.4	-8.3	14.130	13.686	16.945	15.922			0	0	0	0	0	0	0	1	0
341.712271200	+44.446726700	673-118299	341.7122712	+44.4467267	87	15.749	0	0	-12.6	19.6	14.477	14.013	16.389	15.742	15.499	15.233	0	0	0	0	0	0	0	1	0
341.714391500	+44.523280000	673-118300	341.7143915	+44.5232800	44	15.015	0	0	8.3	32.2	13.405	12.871	16.037	15.065	14.787	14.472	0	0	0	0	0	0	0	1	0
341.714866200	+44.405631200	673-118301	341.7148662	+44.4056312	46	15.065	0	0	4.9	4.3	13.693	13.259	16.059	15.390	15.090	14.653	0	0	0	0	0	0	0	1	0
341.723223000	+44.410916400	673-118304	341.7232230	+44.4109164	51	15.420	0	0	-6.4	-6.1	13.682	13.126	16.623	15.524	15.245	14.818	0	0	0	0	0	0	0	1	0
341.726389800	+44.563353400	673-118308	341.7263898	+44.5633534	26	13.359	0	0	-3.9	-13.2	12.090	11.787	14.038	13.397	13.215	13.029	0	0	0	0	1	0	0	1	0
341.728485600	+44.552386400	673-118309	341.7284856	+44.5523864	65	15.941	0	0	35.3	6.6	14.380	13.741	17.163	16.347	16.012	15.578	0	0	0	0	0	0	0	1	0
341.731097700	+44.447628100	673-118310	341.7310977	+44.4476281	47	15.177	0	0	-2.7	2.9	13.008	12.134	16.689	15.481	15.060	14.436	0	0	0	0	0	0	0	1	0
341.733667400	+44.415155600	673-118311	341.7336674	+44.4151556	65	15.246	0	0	3.5	-8.9	13.583	13.056	16.315	15.414	15.061	14.796	0	0	0	0	0	0	0	1	0
341.734827700	+44.461228700	673-118313	341.7348277	+44.4612287	150	15.751	0	0	-24.9	5.8	14.434	13.952	16.857	15.891	15.622	15.291	0	0	0	0	0	0	0	3	0
341.749377400	+44.458352000	673-118319	341.7493774	+44.4583520	57	14.972	0	0	-10.6	-5.9	13.001	12.299	16.360	15.145	14.781	14.341	0	0	0	0	0	0	0	1	0
341.754451500	+44.437364200	673-118320	341.7544515	+44.4373642	73	15.529	0	0	6.8	0.5	13.877	13.436	16.417	15.580	15.329		0	0	0	0	0	0	0	1	0
341.761058300	+44.462801400	673-118322	341.7610583	+44.4628014	25	14.098	0	0	7.1	5.1	12.580	12.109	15.103	14.195	13.920	13.656	0	0	0	0	1	0	0	1	0
341.762359800	+44.468420000	673-118324	341.7623598	+44.4684200	51	15.302	0	0	17.0	4.6	13.408	12.810	16.233	15.435	15.003	14.649	0	0	0	0	0	0	0	1	0
341.773576800	+44.426488100	673-118328	341.7735768	+44.4264881	147	16.519	0	0	-4.5	-9.9	15.131	14.715	17.656	16.663	16.500		0	0	0	0	0	0	0	1	0
341.777250300	+44.540140000	673-118329	341.7772503	+44.5401400	21	12.836	0	0	4.4	2.1	10.609	9.675	14.640	13.246	12.763	12.201	0	0	0	0	1	0	0	1	0
341.778576500	+44.558949800	673-118330	341.7785765	+44.5589498	50	15.183	0	0	14.3	4.5	13.452	12.872	16.572	15.511	15.121	14.684	0	0	0	0	0	0	0	1	0
